Section ID,Section,HS2 ID,HS2,Trade Value,Share,Year
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",3093706.0,0.0189483961911991,1997
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",13357.0,8.18092371821e-05,1997
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",127543435.0,0.7811807385596633,1997
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",132517406.0,0.8116454217427245,1997
4,Foodstuffs,417,Sugars & confectioneries,336672060.0,2.062056180964573,1997
4,Foodstuffs,418,Cocoa & cocoa preparations,20816251.0,0.1274958160741345,1997
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",14699292.0,0.0900305357219221,1997
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",37145064.0,0.2275068766131786,1997
4,Foodstuffs,421,Miscellaneous edible preparations,4964843.0,0.0304087758148647,1997
4,Foodstuffs,422,"Beverages, spirits, & vinegar",113357213.0,0.6942926648667183,1997
4,Foodstuffs,423,Food residues & wastes; animal fodder,41522937.0,0.2543205661100971,1997
4,Foodstuffs,424,Tobacco & substitutes,28591565.0,0.1751182243388428,1997
1,Animal Products,101,Live animals,1468529.0,0.0098574353435434,1998
1,Animal Products,102,Meat & edible offal,159644881.0,1.0716091356624184,1998
1,Animal Products,103,"Fish, Crustaceans & Molluscs",45419888.0,0.3048789702287031,1998
1,Animal Products,104,"Edible products of animal origin, n.e.s.",86755530.0,0.582342621541589,1998
1,Animal Products,105,"Animal originated products, n.e.s.",2627749.0,0.017638647835052,1998
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",917828.0,0.0061608794695193,1998
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",31020817.0,0.208225849051258,1998
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",11354585.0,0.0762171448369551,1998
2,Vegetable Products,209,"Coffee, tea, mate & spices",2483940.0,0.0166733363435393,1998
2,Vegetable Products,210,Cereals,437799355.0,2.9387086229536807,1998
2,Vegetable Products,211,Products of the milling industry,53225412.0,0.3572732015666454,1998
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",271350392.0,1.821427390664524,1998
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",2006206.0,0.0134665681990815,1998
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",34229.0,0.0002297606341952,1998
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",130479361.0,0.87583688488574,1998
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",55631425.0,0.3734234564020794,1998
4,Foodstuffs,417,Sugars & confectioneries,112887869.0,0.7577547802855158,1998
4,Foodstuffs,418,Cocoa & cocoa preparations,22756799.0,0.1527539972098033,1998
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",12459036.0,0.0836307228613672,1998
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",31491120.0,0.2113827369400056,1998
4,Foodstuffs,421,Miscellaneous edible preparations,4271588.0,0.028672843726107,1998
4,Foodstuffs,422,"Beverages, spirits, & vinegar",62009915.0,0.4162387857312508,1998
4,Foodstuffs,423,Food residues & wastes; animal fodder,37355416.0,0.2507465620026368,1998
